場所,芝・ダート,距離,トラックコード,コーナー回数,CourseKey,参考URL,初角距離m,初角距離表現,最終直線m,コース形態,スタート勾配,道中勾配,直線勾配,コーナー形状,参考ペース傾向,参考脚質傾向,参考枠傾向,StartDashWeight,EarlyTrackingWeight,FirstTurnPressure,ClosingOpportunity,LongSpurtOpportunity,データ状態,備考,モデル利用区分,初角距離Source,最終直線Source,初角距離推定フラグ,StructureConfidence
中京,ダート,1200,1,2.0,中京_ダート_1200_TC1,https://horse-racing-ai-navi.com/archives/9548,405.0,,410.7,,,,,,,,,0.5625,0.4375,0.2375,0.3571111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,ダート,1400,1,2.0,中京_ダート_1400_TC1,https://horse-racing-ai-navi.com/archives/9548,405.0,,410.7,,,,,,,,,0.5625,0.4375,0.2375,0.3571111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,ダート,1800,1,4.0,中京_ダート_1800_TC1,https://horse-racing-ai-navi.com/archives/9548,330.0,,410.7,,,,,,,,,0.625,0.375,0.425,0.3571111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,ダート,1900,1,4.0,中京_ダート_1900_TC1,https://horse-racing-ai-navi.com/archives/9548,330.0,,410.7,,,,,,,,,0.625,0.375,0.425,0.3571111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,芝,1200,0,2.0,中京_芝_1200_TC0,https://horse-racing-ai-navi.com/archives/9548,300.0,,412.5,,,,,,,,,0.65,0.35,0.5,0.3611111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,inferred_same_route,JRA公式コースデータ,True,MID
中京,芝,1400,0,2.0,中京_芝_1400_TC0,https://horse-racing-ai-navi.com/archives/9548,500.0,約500m,412.5,ワンターン,,下り基調,急坂,,1200より上がりやすい,逃げ・先行＋差し余地,内寄り,0.48333333333333334,0.5166666666666666,0.0,0.3611111111111111,0.6,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,v1候補,verified_existing,JRA公式コースデータ,False,HIGH
中京,芝,1600,0,3.0,中京_芝_1600_TC0,https://horse-racing-ai-navi.com/archives/9548,170.0,非常に短い,412.5,斜め引き込み,上り,後半下り,急坂,,前半落ち着き後半加速,先行＋差し余地,外から先行しにくい,0.7583333333333333,0.2416666666666667,0.825,0.3611111111111111,0.6,参考サイト確認済,参考サイトの文章記述を構造化。数値は記事本文で確認できたもののみ入力。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,芝,2000,0,4.0,中京_芝_2000_TC0,https://horse-racing-ai-navi.com/archives/9548,410.0,,412.5,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.3611111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,芝,2200,0,4.0,中京_芝_2200_TC0,https://horse-racing-ai-navi.com/archives/9548,410.0,,412.5,,,,,,,,,0.5583333333333333,0.44166666666666665,0.225,0.3611111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
中京,芝,3000,0,6.0,中京_芝_3000_TC0,https://horse-racing-ai-navi.com/archives/9548,200.0,,412.5,,,,,,,,,0.7333333333333334,0.2666666666666666,0.75,0.3611111111111111,,骨格のみ,TARGET実績コースの骨格行。今後、参考サイト/JRA公式で物理情報を補完。,未確定,fallback_corner_median,JRA公式コースデータ,True,LOW
