血統登録番号,StartDashScore,EarlyTrackingScore,DashMinusTracking,PastPositionScore,HistoryN,StructureSpread,Reliability,Type
2017101108,56.8,59.91,-3.11,66.33,4,0.1335,50.0,バランス型
2017101746,52.29,48.17,4.11,46.77,8,0.1149,66.7,バランス型
2017101956,38.1,48.24,-10.14,21.79,3,0.1139,42.9,追走持続型
2017101967,66.58,67.68,-1.1,81.39,8,0.1057,66.7,バランス型
2017102372,53.73,54.01,-0.28,54.47,6,0.0217,31.9,バランス型
2017103257,43.45,45.52,-2.07,0.0,1,0.0,7.0,バランス型
2017104620,57.37,58.9,-1.53,63.01,8,0.1407,66.7,バランス型
2017104646,61.69,65.93,-4.23,74.6,8,0.2005,66.7,バランス型
2017105238,56.83,52.4,4.42,56.39,7,0.1283,63.6,バランス型
2017105472,42.09,49.48,-7.38,36.98,8,0.0814,66.7,バランス型
2013105556,35.21,30.47,4.74,11.43,8,0.1699,66.7,バランス型
2014102659,44.69,46.5,-1.81,6.67,1,0.0,7.0,バランス型
2015104684,55.54,57.37,-1.84,64.5,2,0.1,33.3,バランス型
2016100695,61.01,60.54,0.47,68.48,8,0.1393,66.7,バランス型
2016102229,27.18,34.45,-7.26,6.81,8,0.0939,66.7,バランス型
2016102938,65.45,52.43,13.02,67.45,8,0.1642,66.7,テン型
2016103909,45.56,43.35,2.21,35.55,8,0.1853,66.7,バランス型
2016104238,29.46,36.4,-6.95,11.03,8,0.1577,66.7,バランス型
2016104352,59.65,59.85,-0.2,66.36,8,0.1853,66.7,バランス型
2016104614,59.08,55.84,3.24,62.1,8,0.1189,66.7,バランス型
2016104758,47.0,51.46,-4.46,44.17,7,0.0464,46.9,バランス型
2016105756,66.16,64.92,1.25,78.27,8,0.0678,61.0,バランス型
2016109007,43.43,46.15,-2.73,35.74,8,0.1354,66.7,バランス型
2016110115,49.2,54.33,-5.13,49.28,8,0.1195,66.7,バランス型
2011100215,55.37,56.14,-0.77,58.15,8,0.0607,57.1,バランス型
2012101157,34.07,43.56,-9.49,22.24,8,0.0325,41.4,追走持続型
2013105681,44.87,48.1,-3.23,37.58,6,0.0884,60.0,バランス型
2014100686,72.14,64.15,8.0,97.93,3,0.0904,42.9,バランス型
2014102019,35.48,41.41,-5.93,22.44,8,0.0695,61.9,バランス型
2014103404,36.17,45.7,-9.53,19.56,4,0.0,17.5,追走持続型
2014104076,32.55,38.71,-6.16,16.76,8,0.0701,62.3,バランス型
2014104249,44.75,45.93,-1.17,36.94,8,0.106,66.7,バランス型
2014105413,50.36,52.02,-1.67,40.0,1,0.0,7.0,バランス型
2015102264,41.15,45.84,-4.7,32.84,8,0.0786,66.7,バランス型
2015103296,70.33,63.42,6.92,83.93,6,0.0906,60.0,バランス型
2015103875,40.73,45.37,-4.64,31.81,8,0.0584,55.8,バランス型
2015106351,51.7,51.31,0.39,47.94,3,0.0589,36.0,バランス型
2016105064,59.46,57.62,1.84,64.6,7,0.0239,35.0,バランス型
2016105439,58.06,56.53,1.54,63.57,4,0.0859,50.0,バランス型
2016105669,62.36,57.37,4.99,93.33,1,0.0,7.0,バランス型
2010100035,48.52,56.6,-8.08,51.69,3,0.1313,42.9,追走持続型
2012101586,55.52,58.59,-3.07,64.01,3,0.088,42.9,バランス型
2013102360,56.78,58.02,-1.24,61.58,8,0.0977,66.7,バランス型
2013102938,56.19,54.76,1.43,57.84,8,0.1246,66.7,バランス型
2013106118,72.18,66.85,5.33,95.2,4,0.1844,50.0,バランス型
2014100208,59.28,59.55,-0.26,65.69,8,0.1163,66.7,バランス型
2014101558,45.12,38.34,6.77,27.45,6,0.1038,60.0,バランス型
2014102157,70.92,66.04,4.89,84.56,8,0.1508,66.7,バランス型
2014102617,44.36,47.37,-3.01,25.25,2,0.0542,26.7,バランス型
2014102897,60.86,59.3,1.57,93.75,1,0.0,7.0,バランス型
2014103266,35.61,39.89,-4.29,13.01,4,0.1372,50.0,バランス型
