順位,安定度,先行圧力区分_v1,無方向_脚質ペア,ペア数,レース数,出現年数,最小年N,ワイド成立率,基準ワイド率,ワイドLift,ワイド再現率,馬連成立率,基準馬連率,馬連Lift,馬連再現率,2頭とも掲示板率,掲示板Lift,掲示板再現率,どちらか勝利率,勝利Lift,平均2頭着順合計,年ワイド率SD,安定ペアScore
1,A,MID,先行×中団,224,117,3,44,0.12053571428571429,0.0636042402826855,1.6188271604938276,1.0,0.0625,0.03415783274440518,1.573648361004683,0.6666666666666666,0.25,1.4637931034482758,1.0,0.23660714285714285,1.2101172547332186,12.883928571428571,0.041303865972705446,106.14722576983115
2,B,HIGH,先行×先行,94,67,3,22,0.09574468085106383,0.0566873339238264,1.3338434278350515,0.6666666666666666,0.05319148936170213,0.023914968999114262,1.5931653302787323,0.6666666666666666,0.24468085106382978,1.7265292553191487,0.6666666666666666,0.22340425531914893,1.1412823721960141,12.904255319148936,0.07103330224301986,90.37893291725226
3,B,HIGH,逃げ×中団,116,78,3,21,0.08620689655172414,0.0566873339238264,1.2796585648148147,0.6666666666666666,0.034482758620689655,0.023914968999114262,1.2373113854595337,0.6666666666666666,0.21551724137931033,1.5207435344827585,0.3333333333333333,0.2413793103448276,1.2331096894991418,13.28448275862069,0.03320197662625908,71.30046596857606
4,C,MID,先行×先行,51,39,3,12,0.11764705882352941,0.0636042402826855,1.2869757174392937,0.6666666666666666,0.0392156862745098,0.03415783274440518,1.0500114181319935,0.3333333333333333,0.35294117647058826,2.066531440162272,1.0,0.29411764705882354,1.504252303330971,11.509803921568627,0.10137937550497032,76.05218086321076
5,C,HIGH,先行×中団,334,171,3,56,0.06287425149700598,0.0566873339238264,1.083993375576037,0.3333333333333333,0.029940119760479042,0.023914968999114262,1.193889742276839,0.6666666666666666,0.16467065868263472,1.161957335329341,1.0,0.19760479041916168,1.0094832958517355,14.134730538922156,0.04321923166946686,53.44914236853141
6,C,HIGH,逃げ×先行,62,47,3,11,0.06451612903225806,0.0566873339238264,1.052854938271605,0.6666666666666666,0.016129032258064516,0.023914968999114262,0.8754000914494742,0.3333333333333333,0.14516129032258066,1.0242943548387096,0.6666666666666666,0.22580645161290322,1.1535542256604874,14.370967741935484,0.022731776298649,38.11229694283425
7,C,HIGH,中団×中団,236,141,3,36,0.046610169491525424,0.0566873339238264,0.8751395089285715,0.3333333333333333,0.012711864406779662,0.023914968999114262,0.6709656084656085,0.0,0.11864406779661017,0.8371822033898305,0.0,0.15677966101694915,0.8009241506250478,15.682203389830509,0.03757708127352412,11.474236825733124
8,C,MID,中団×中団,310,160,3,72,0.041935483870967745,0.0636042402826855,0.7424119241192412,0.0,0.025806451612903226,0.03415783274440518,0.815138772077376,0.3333333333333333,0.14193548387096774,0.8310567296996664,0.0,0.15806451612903225,0.8084143023707734,14.083870967741936,0.021028099015400526,5.5803907382789095
9,C,HIGH,中団×差し,143,82,3,14,0.027972027972027972,0.0566873339238264,0.70190329218107,0.3333333333333333,0.0,0.023914968999114262,0.41152263374485604,0.0,0.04895104895104895,0.34541083916083914,0.3333333333333333,0.16783216783216784,0.8573869569344682,15.825174825174825,0.07345256704009309,4.444444444444445
10,C,MID,中団×差し,132,76,3,18,0.007575757575757576,0.0636042402826855,0.49880268199233707,0.0,0.007575757575757576,0.03415783274440518,0.5572235434007135,0.0,0.045454545454545456,0.26614420062695926,0.0,0.13636363636363635,0.6974260679079956,15.553030303030303,0.008747731351357967,0.0
11,C,HIGH,先行×差し,62,43,3,10,0.0,0.0566873339238264,0.617283950617284,0.0,0.0,0.023914968999114262,0.617283950617284,0.0,0.04838709677419355,0.34143145161290317,0.0,0.1774193548387097,0.9063640344475259,15.290322580645162,0.0,0.0
