Scenario,Phase,PositionBand,PrevMoveBand,N,RawResidualCorrection,ScenarioPhasePrior,ShrinkWeight,FinalCorrection,Confidence,Status
EVEN,MOVE_34,BACK,ADVANCE,409,-0.008026,-0.001482,0.910913,-0.007443,0.910913,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,BACK,DROP,193,-0.009196,-0.001482,0.828326,-0.007871,0.828326,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,BACK,NEUTRAL,2413,-0.007906,-0.001482,0.983693,-0.007802,0.983693,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,FRONT,ADVANCE,101,0.002556,-0.001482,0.716312,0.00141,0.716312,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,FRONT,DROP,133,-0.003033,-0.001482,0.768786,-0.002674,0.768786,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,FRONT,NEUTRAL,3477,-0.002867,-0.001482,0.988627,-0.002851,0.988627,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,MID,ADVANCE,4523,0.001213,-0.001482,0.991234,0.00119,0.991234,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,MID,DROP,3574,0.000488,-0.001482,0.988932,0.000466,0.988932,2024-2025 calibration / 2026 holdout
EVEN,MOVE_34,MID,NEUTRAL,17676,-0.001196,-0.001482,0.997742,-0.001197,0.997742,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,BACK,ADVANCE,603,0.01344,0.000126,0.937792,0.012611,0.937792,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,BACK,DROP,221,-0.006925,0.000126,0.846743,-0.005845,0.846743,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,BACK,NEUTRAL,2800,-0.000105,0.000126,0.985915,-0.000102,0.985915,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,FRONT,ADVANCE,26,-0.027797,0.000126,0.393939,-0.010874,0.393939,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,FRONT,DROP,122,0.008615,0.000126,0.753086,0.006519,0.753086,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,FRONT,NEUTRAL,3492,-0.003696,0.000126,0.988675,-0.003653,0.988675,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,MID,ADVANCE,3341,0.007212,0.000126,0.988169,0.007129,0.988169,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,MID,DROP,3159,0.013573,0.000126,0.987496,0.013404,0.987496,2024-2025 calibration / 2026 holdout
EVEN,MOVE_TO3,MID,NEUTRAL,18735,-0.00302,0.000126,0.99787,-0.003013,0.99787,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,BACK,ADVANCE,340,0.001223,0.001109,0.894737,0.001211,0.894737,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,BACK,DROP,232,-0.007395,0.001109,0.852941,-0.006144,0.852941,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,BACK,NEUTRAL,2599,-0.003719,0.001109,0.984843,-0.003646,0.984843,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,FRONT,ADVANCE,74,-0.016621,0.001109,0.649123,-0.0104,0.649123,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,FRONT,DROP,158,-0.012777,0.001109,0.79798,-0.009972,0.79798,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,FRONT,NEUTRAL,4122,-0.003976,0.001109,0.990389,-0.003927,0.990389,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,MID,ADVANCE,3557,0.003249,0.001109,0.98888,0.003226,0.98888,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,MID,DROP,3298,0.005364,0.001109,0.988017,0.005313,0.988017,2024-2025 calibration / 2026 holdout
HIGH,MOVE_34,MID,NEUTRAL,17873,0.002078,0.001109,0.997767,0.002075,0.997767,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,BACK,ADVANCE,374,-0.01104,0.00038,0.903382,-0.009936,0.903382,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,BACK,DROP,171,-0.012668,0.00038,0.810427,-0.010194,0.810427,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,BACK,NEUTRAL,2992,-0.003997,0.00038,0.986807,-0.003939,0.986807,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,FRONT,ADVANCE,16,-0.025087,0.00038,0.285714,-0.006896,0.285714,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,FRONT,DROP,99,-0.020622,0.00038,0.71223,-0.014578,0.71223,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,FRONT,NEUTRAL,4385,0.001674,0.00038,0.99096,0.001663,0.99096,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,MID,ADVANCE,1846,0.010873,0.00038,0.978791,0.010651,0.978791,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,MID,DROP,1831,0.009858,0.00038,0.978621,0.009655,0.978621,2024-2025 calibration / 2026 holdout
HIGH,MOVE_TO3,MID,NEUTRAL,20539,-0.000609,0.00038,0.998056,-0.000607,0.998056,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,BACK,ADVANCE,79,-0.02217,-0.001816,0.663866,-0.015328,0.663866,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,BACK,DROP,33,-0.01858,-0.001816,0.452055,-0.009394,0.452055,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,BACK,NEUTRAL,453,-0.004887,-0.001816,0.918864,-0.004638,0.918864,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,FRONT,ADVANCE,25,0.02014,-0.001816,0.384615,0.006629,0.384615,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,FRONT,DROP,26,0.012799,-0.001816,0.393939,0.003942,0.393939,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,FRONT,NEUTRAL,626,-0.00719,-0.001816,0.93994,-0.006867,0.93994,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,MID,ADVANCE,1079,-0.003658,-0.001816,0.964254,-0.003592,0.964254,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,MID,DROP,727,0.005818,-0.001816,0.947849,0.00542,0.947849,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_34,MID,NEUTRAL,3473,-0.001117,-0.001816,0.988614,-0.001125,0.988614,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,BACK,ADVANCE,148,0.020543,-0.000853,0.787234,0.01599,0.787234,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,BACK,DROP,32,-0.02309,-0.000853,0.444444,-0.010736,0.444444,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,BACK,NEUTRAL,548,0.011879,-0.000853,0.931973,0.011013,0.931973,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,FRONT,ADVANCE,2,0.023587,-0.000853,0.047619,0.000311,0.047619,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,FRONT,DROP,39,-0.035439,-0.000853,0.493671,-0.017927,0.493671,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,FRONT,NEUTRAL,612,-0.003072,-0.000853,0.93865,-0.002936,0.93865,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,MID,ADVANCE,904,-0.00489,-0.000853,0.957627,-0.004719,0.957627,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,MID,DROP,825,0.008957,-0.000853,0.953757,0.008504,0.953757,2024-2025 calibration / 2026 holdout
LONG_SPURT,MOVE_TO3,MID,NEUTRAL,3411,-0.004142,-0.000853,0.988409,-0.004104,0.988409,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,BACK,ADVANCE,49,0.000201,-0.002465,0.550562,-0.000997,0.550562,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,BACK,DROP,24,0.005968,-0.002465,0.375,0.000697,0.375,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,BACK,NEUTRAL,245,-0.006011,-0.002465,0.859649,-0.005513,0.859649,2024-2025 calibration / 2026 holdout
SLOW,MOVE_34,FRONT,ADVANCE,14,0.009975,-0.002465,0.259259,0.00076,0.259259,2024-2025 calibration / 2026 holdout
