rcode,馬番,馬名,SmartRC馬コード,ten_has,ten_has_rank,ten1f_best,ten1f_best_rank,h1_ten1f,h1_ten1f_rank,ten_pat,agari_pat,agari_has,agari_has_rank,date,場所,R,レース名
2026090506040101,1,バニーラビット,2022104929,   , ,124,2,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,2,ナックエルドラド,2022106304,   , ,136,8,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,3,メイショウアツイタ,2018105731,   , ,131,6,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,4,コンテナワールド,2021104924,   , ,123,1,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,5,マイネルメサイア,2019100788,   , ,127,4,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,6,ヒットアンドロール,2021104974,   , ,133,7,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,7,サングラデーション,2020102864,   , ,130,5,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040101,8,アクロスザリバー,2022100481,   , ,125,3,,,  ,  ,   , ,20260905,中山,1,nan
2026090506040102,1,ティアップシャイン,2023101730,354,8,124,4,130,6,30,  ,383, ,20260905,中山,2,nan
2026090506040102,2,バンオンタイム,2023101120,358, ,124,4,127,3,30,15,339,1,20260905,中山,2,nan
2026090506040102,3,フクオトコ,2023102564,361, ,122,1,133,13,  ,50,341,3,20260905,中山,2,nan
2026090506040102,4,マーガレット,2023105898,   , ,,,,,  ,  ,   , ,20260905,中山,2,nan
2026090506040102,5,シュガーシャック,2023107066,362, ,126,10,131,10,50,  ,348, ,20260905,中山,2,nan
2026090506040102,6,ラグアイリータ,2023106463,358, ,126,10,130,6,30,  ,343,5,20260905,中山,2,nan
2026090506040102,7,ミスティユニバンス,2023105285,352,5,124,4,130,6,  ,  ,352, ,20260905,中山,2,nan
2026090506040102,8,ココナッツコースト,2023103366,352,5,125,8,131,10,30,50,346, ,20260905,中山,2,nan
2026090506040102,9,コスモシグルン,2023101040,347,2,125,8,126,1,30,  ,361, ,20260905,中山,2,nan
2026090506040102,10,マイネルヴェーゼン,2023106471,351,3,127,13,133,13,  ,30,347, ,20260905,中山,2,nan
2026090506040102,11,ダノンドナウ,2023106058,359, ,129,15,132,12,  ,30,341,3,20260905,中山,2,nan
2026090506040102,12,ブルームコード,2023102378,353,7,127,13,127,3,15,  ,346, ,20260905,中山,2,nan
2026090506040102,13,フーディエラン,2023106286,356, ,124,4,129,5,30,  ,344,6,20260905,中山,2,nan
2026090506040102,14,ヘクトルテソーロ,2023106757,356, ,123,2,137,15,  ,15,339,1,20260905,中山,2,nan
2026090506040102,15,ルージュフローラ,2023105416,341,1,126,10,130,6,  ,50,345,8,20260905,中山,2,nan
2026090506040102,16,セルリア,2023103843,351,3,123,2,126,1,15,  ,344,6,20260905,中山,2,nan
2026090506040103,1,ブロンクス,2024101068,   , ,130,4,130,3,15,  ,   , ,20260905,中山,3,nan
2026090506040103,2,パルセノスミハ,2024104736,368,3,129,3,130,3,50,15,381,1,20260905,中山,3,nan
2026090506040103,3,サスケソルトバーン,2024102123,392,4,139,9,139,9,  ,  ,410,3,20260905,中山,3,nan
2026090506040103,4,マイセイバー,2024102834,   , ,137,8,137,8,  ,50,   , ,20260905,中山,3,nan
2026090506040103,5,ハイビスカス,2024107403,360,2,132,5,132,5,15,50,428,4,20260905,中山,3,nan
2026090506040103,6,チョトツモウシン,2024103008,   , ,143,10,143,10,  ,  ,   , ,20260905,中山,3,nan
2026090506040103,7,ニシノアナベル,2024102786,   , ,127,1,127,1,15,  ,   , ,20260905,中山,3,nan
2026090506040103,8,ワンコール,2024106974,   , ,132,5,132,5,  ,  ,   , ,20260905,中山,3,nan
2026090506040103,9,ユイノキャッツアイ,2024103015,359,1,127,1,128,2,50,30,384,2,20260905,中山,3,nan
2026090506040103,10,サンプラザマツモト,2024106782,   , ,133,7,133,7,50,  ,   , ,20260905,中山,3,nan
2026090506040104,1,コスモプルー,2024103576,364,3,129,2,129,2,30,30,343,1,20260905,中山,4,nan
2026090506040104,2,ティアラスピリット,2024107256,360,1,130,3,130,3,50,  ,354, ,20260905,中山,4,nan
2026090506040104,3,キョウエイシャトル,2024101173,377, ,136,9,136,8,  ,50,352, ,20260905,中山,4,nan
2026090506040104,4,ビップルーチェ,2024104028,360,1,128,1,128,1,15,  ,359, ,20260905,中山,4,nan
2026090506040104,5,コウサイリクリ,2024102469,373, ,136,9,136,8,  ,30,345,3,20260905,中山,4,nan
2026090506040104,6,ロジグローリー,2024102970,393, ,131,4,131,4,15,  ,345,3,20260905,中山,4,nan
2026090506040104,7,ゴーゼンチュー,2024104289,379, ,134,8,134,7,  ,  ,374, ,20260905,中山,4,nan
2026090506040104,8,ソウカイウォーリア,2024104658,376, ,133,6,133,6,50,30,343,1,20260905,中山,4,nan
2026090506040104,9,アルスラーン,2024105394,392, ,136,9,136,8,  ,  ,361, ,20260905,中山,4,nan
2026090506040104,10,グルドロッティン,2024106562,371,5,131,4,131,4,30,30,351,5,20260905,中山,4,nan
2026090506040104,11,マイネルクロカータ,2024101646,369,4,133,6,139,11,  ,  ,400, ,20260905,中山,4,nan
2026090506040105,1,マイネルシードル,2024103651,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,2,グランエール,2024100023,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,3,ルフトシュピール,2024106087,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,4,マイネルヘルリッヒ,2024102470,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,5,ローザドーロ,2024105741,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,6,ヴェトロテンペスタ,2024106354,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,7,ホットリップス,2024104152,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,8,インヴィディア,2024106221,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,9,エーアイラピド,2024107140,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,10,カエンフォース,2024106848,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040105,11,スカイミラー,2024103169,   , ,,,,,  ,  ,   , ,20260905,中山,5,nan
2026090506040106,1,アルビオンライズ,2024105970,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,2,ウマッター,2024103928,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,3,ダイチマイスター,2024102462,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,4,マリノフスキー,2024104214,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,5,ギムナシオン,2024100454,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,6,ノアヴェルテ,2024101356,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,7,ヤマニンスペッキオ,2024102784,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,8,オーディンスピア,2024106196,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,9,カンタベリートップ,2024107136,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,10,ポッドビート,2024108315,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,11,ニシノドリーマー,2024105198,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,12,ダンシングリリー,2024106780,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,13,ルスデルカミーノ,2024100423,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040106,14,ソウラスフロス,2024102190,   , ,,,,,  ,  ,   , ,20260905,中山,6,nan
2026090506040107,1,フェンリル,2023106726,377,7,134,14,137,9,30,  ,385,6,20260905,中山,7,nan
2026090506040107,2,カズシ,2023102662,387, ,129,4,137,9,50,50,394, ,20260905,中山,7,nan
2026090506040107,3,デルマザオウ,2023101367,364,3,128,3,130,2,15,30,391, ,20260905,中山,7,nan
2026090506040107,4,マネーマネー,2023101718,383, ,142,16,142,14,  ,  ,399, ,20260905,中山,7,nan
