年月日,場所,R,馬番,レース名,芝・ダ,距離,馬名,性別,騎手,調教師,所属,父,芝・ダ,コースID,所属,日にち判定,前日判定,水曜日判定,木曜日判定,先週の土曜日判定,先週の日曜日判定,2w前の土曜日判定,2w前の日曜日判定,坂2w前 土 TIME1,坂2w前 土 LAP1,坂2w前 土 LAP2,坂2w前 日 TIME1,坂2w前 日 LAP1,坂2w前 日 LAP2,坂1w前 土 TIME1,坂1w前 土 LAP1,坂1w前 土 LAP2,坂1w前 日 TIME1,坂1w前 日 LAP1,坂1w前 日 LAP2, 坂 水 TIME1, 坂 水 LAP1, 坂 水 LAP2, 坂 水 LAP3, 坂 水 LAP4, 坂 木 TIME1, 坂 木 LAP1, 坂 木 LAP2, 坂 木 LAP3, 坂 木 LAP4, 坂 前日 TIME1,ウ2w前 土 １F,ウ2w前 日 １F,ウ1w前 土 １F,ウ1w前 土 5F,ウ1w前 日 １F,ウ1w前 日 5F,ウ 水 1F,ウ 水 4F,ウ 水 5F,ウ 水 6F,ウ 木 1F,ウ 木 4F,ウ 木 5F,ウ 木 6F,調教師判定,ウ 水1F,ウ 木1F,ウ 1F判定,ウ 前日 5F,水曜日A3,木曜日A3,A3LAP判定,水曜日B3,木曜日B3,B3LAP判定,前日坂路時計,前日坂路TIME１判定,水曜坂路爆速,木曜坂路爆速,坂路爆速判定,水曜地雷ラップ,木曜地雷ラップ,地雷ラップ判定,コース判定,A3高勝率Lap,本命候補判定,相手候補判定,ZI,脚質,枠,レースID,血統登録番号
20260906,札幌,1,1,未勝利・牝,ダ,1700,ルージュエピック,牝,松本大輝,田中克典,栗,クリソベリル,1,札幌ダ1700,2,R8.9.6,ルージュエピック46270,ルージュエピック46267,ルージュエピック46268,ルージュエピック46263,ルージュエピック46264,ルージュエピック46256,ルージュエピック46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,93,先,1,2.02609E+17,23106616
20260906,札幌,1,2,未勝利・牝,ダ,1700,テンレッドサン,牝,丹内祐次,西園翔太,栗,ヘニーヒューズ,1,札幌ダ1700,2,R8.9.6,テンレッドサン46270,テンレッドサン46267,テンレッドサン46268,テンレッドサン46263,テンレッドサン46264,テンレッドサン46256,テンレッドサン46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,113,差,2,2.02609E+17,23104101
20260906,札幌,1,3,未勝利・牝,ダ,1700,エリカビアリッツ,牝,鮫島克駿,堀宣行,美,キズナ,1,札幌ダ1700,1,R8.9.6,エリカビアリッツ46270,エリカビアリッツ46267,エリカビアリッツ46268,エリカビアリッツ46263,エリカビアリッツ46264,エリカビアリッツ46256,エリカビアリッツ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,119,先,3,2.02609E+17,23102608
20260906,札幌,1,4,未勝利・牝,ダ,1700,ルージュリヴィエラ,牝,小林美駒,嘉藤貴行,美,ニューイヤーズデイ,1,札幌ダ1700,1,R8.9.6,ルージュリヴィエラ46270,ルージュリヴィエラ46267,ルージュリヴィエラ46268,ルージュリヴィエラ46263,ルージュリヴィエラ46264,ルージュリヴィエラ46256,ルージュリヴィエラ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,104,先,4,2.02609E+17,23105608
20260906,札幌,1,5,未勝利・牝,ダ,1700,サンセリテ,牝,長浜鴻緒,鹿戸雄一,美,コントレイル,1,札幌ダ1700,1,R8.9.6,サンセリテ46270,サンセリテ46267,サンセリテ46268,サンセリテ46263,サンセリテ46264,サンセリテ46256,サンセリテ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,FALSE,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,105,差,4,2.02609E+17,23107068
20260906,札幌,1,6,未勝利・牝,ダ,1700,ウォータースパウト,牝,吉田隼人,小笠倫弘,美,ルヴァンスレーヴ,1,札幌ダ1700,1,R8.9.6,ウォータースパウト46270,ウォータースパウト46267,ウォータースパウト46268,ウォータースパウト46263,ウォータースパウト46264,ウォータースパウト46256,ウォータースパウト46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,111,先,5,2.02609E+17,23105555
20260906,札幌,1,7,未勝利・牝,ダ,1700,ワンダーアスク,牝,川又賢治,笹田和秀,栗,オルフェーヴル,1,札幌ダ1700,2,R8.9.6,ワンダーアスク46270,ワンダーアスク46267,ワンダーアスク46268,ワンダーアスク46263,ワンダーアスク46264,ワンダーアスク46256,ワンダーアスク46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,109,差,5,2.02609E+17,23103191
20260906,札幌,1,8,未勝利・牝,ダ,1700,クリコイーコ,牝,遠藤汰月,荒川義之,栗,ディーマジェスティ,1,札幌ダ1700,2,R8.9.6,クリコイーコ46270,クリコイーコ46267,クリコイーコ46268,クリコイーコ46263,クリコイーコ46264,クリコイーコ46256,クリコイーコ46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,106,差,6,2.02609E+17,23100786
20260906,札幌,1,9,未勝利・牝,ダ,1700,シンデレラカラー,牝,原田和真,加藤和宏,美,ビーチパトロール,1,札幌ダ1700,1,R8.9.6,シンデレラカラー46270,シンデレラカラー46267,シンデレラカラー46268,シンデレラカラー46263,シンデレラカラー46264,シンデレラカラー46256,シンデレラカラー46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,92,先,6,2.02609E+17,23101778
20260906,札幌,1,10,未勝利・牝,ダ,1700,セラサイト,牝,横山武史,茶木太樹,栗,クリソベリル,1,札幌ダ1700,2,R8.9.6,セラサイト46270,セラサイト46267,セラサイト46268,セラサイト46263,セラサイト46264,セラサイト46256,セラサイト46257,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,なし,114,先,7,2.02609E+17,23107306
